Roll No,Rank,Original_Category,Original_Category_Normalized,Assigned,Assigned_Post,Assigned_Category,Assigned_SubCategory,Assigned_Against
1101713,1,"BC,NG,RG","OBC,NG,RG",True,POST-1,UR,GE,UR
1100141,2,"GE,WE,NG,RG","GE,WE,NG,RG",True,POST-1,UR,GE,UR
1100217,3,"BC,RG","OBC,RG",True,POST-1,UR,GE,UR
1107777,4,GE,GE,True,POST-1,UR,GE,UR
1100722,5,"BC,RG","OBC,RG",True,POST-1,UR,GE,UR
1103935,6,"BC,WE,RG","OBC,WE,RG",True,POST-1,UR,GE,UR
1100038,7,"BC,NG,RG","OBC,NG,RG",True,POST-1,UR,GE,UR
1104648,8,BC,OBC,True,POST-1,UR,GE,UR
1102391,9,"BC,NG,RG","OBC,NG,RG",True,POST-1,UR,GE,UR
1107457,10,"BC,ME","OBC,ME",True,POST-1,UR,GE,UR
1100429,11,BC,OBC,True,POST-1,UR,GE,UR
1100039,12,BC,OBC,True,POST-1,UR,GE,UR
1101397,13,BC,OBC,True,POST-1,UR,GE,UR
1101607,14,BC,OBC,True,POST-1,UR,GE,UR
1100597,15,"SC,WE","SC,WE",True,POST-1,UR,GE,UR
1101109,16,"BC,WE","OBC,WE",True,POST-1,UR,GE,UR
1111864,17,GE,GE,True,POST-1,UR,GE,UR
1101563,18,"SC,RG","SC,RG",True,POST-1,UR,GE,UR
1109545,19,BC,OBC,True,POST-1,UR,GE,UR
1100015,20,EWS,EWS,True,POST-1,UR,GE,UR
1101261,21,"EWS,WE","EWS,WE",True,POST-1,UR,GE,UR
1100626,22,"BC,NG,RG","OBC,NG,RG",True,POST-1,UR,GE,UR
1104107,23,BC,OBC,True,POST-1,UR,GE,UR
1102569,24,"EWS,WE","EWS,WE",True,POST-1,UR,GE,UR
1110123,25,"BC,WE","OBC,WE",True,POST-1,UR,GE,UR
1120480,25,"GE,RG,TSP-UR","GE,RG,TSP-UR",True,POST-2,UR,GE,UR
1100779,26,"GE,WE","GE,WE",True,POST-1,UR,"GE, WE",UR
1106852,27,"BC,WE","OBC,WE",True,POST-1,UR,"GE, WE",UR
1102029,28,"GE,WE","GE,WE",True,POST-1,UR,"GE, WE",UR
1102054,29,"BC,WE","OBC,WE",True,POST-1,UR,"GE, WE",UR
1103089,30,BC,OBC,True,POST-1,OBC,GE,Vertical
1117539,31,BC,OBC,True,POST-1,OBC,GE,Vertical
1112633,32,EWS,EWS,True,POST-1,EWS,GE,Vertical
1100032,33,"BC,WE","OBC,WE",True,POST-1,UR,"GE, WE",UR
1102420,34,"GE,WE","GE,WE",True,POST-1,UR,"GE, WE",UR
1106226,35,ST,ST,True,POST-1,ST,GE,Vertical
1100388,36,BC,OBC,True,POST-1,OBC,GE,Vertical
1107278,37,ST,ST,True,POST-1,ST,GE,Vertical
1100871,38,BC,OBC,True,POST-1,OBC,GE,Vertical
1100369,39,"MB,NG,RG","MBC,NG,RG",True,POST-1,MBC,GE,Vertical
1108010,40,"BC,WE","OBC,WE",True,POST-1,UR,"GE, WE",UR
1117118,41,BC,OBC,True,POST-1,OBC,GE,Vertical
1106010,42,"BC,WE,RG","OBC,WE,RG",True,POST-1,UR,"GE, WE",UR
1100400,43,BC,OBC,True,POST-1,OBC,GE,Vertical
1100033,44,BC,OBC,True,POST-1,OBC,GE,Vertical
1100227,45,"BC,WE","OBC,WE",True,POST-1,OBC,GE,Vertical
1101885,46,BC,OBC,True,POST-1,OBC,GE,Vertical
1100012,47,"BC,ME,RG","OBC,ME,RG",True,POST-1,OBC,GE,Vertical
1101176,48,"GE,WE","GE,WE",True,POST-2,UR,GE,UR
1103196,49,MB,MBC,True,POST-1,MBC,GE,Vertical
1117610,50,"BC,NG,RG","OBC,NG,RG",True,POST-1,OBC,GE,Vertical
1105724,51,BC,OBC,True,POST-1,OBC,GE,Vertical
1102387,52,"BC,WE","OBC,WE",True,POST-1,OBC,"GE, WE",Vertical
1110067,53,"GE,WE","GE,WE",True,POST-2,UR,GE,UR
1100298,54,"BC,RG","OBC,RG",True,POST-2,UR,GE,UR
1101358,55,"BC,EX","OBC,EX",True,POST-1,UR,EX,UR
1101662,56,"GE,WE","GE,WE",True,POST-2,UR,GE,UR
1117787,57,"BC,RG","OBC,RG",True,POST-2,UR,GE,UR
1105120,58,BC,OBC,True,POST-2,UR,GE,UR
1118216,59,BC,OBC,True,POST-2,UR,GE,UR
1100668,60,BC,OBC,True,POST-2,UR,GE,UR
1103790,61,"ST,WE","ST,WE",True,POST-1,ST,GE,Vertical
1106278,62,GE,GE,True,POST-2,UR,GE,UR
1103747,63,"BC,RG","OBC,RG",True,POST-2,UR,GE,UR
1102572,64,"EWS,WE,RG","EWS,WE,RG",True,POST-1,EWS,GE,Vertical
1106334,65,EWS,EWS,True,POST-1,EWS,GE,Vertical
1117594,66,GE,GE,True,POST-2,UR,GE,UR
1115534,67,"BC,NG,RG","OBC,NG,RG",True,POST-2,UR,GE,UR
1103301,68,"BC,NG,RG","OBC,NG,RG",True,POST-2,UR,GE,UR
1103906,69,EWS,EWS,True,POST-1,EWS,GE,Vertical
1100433,70,"BC,WE","OBC,WE",True,POST-1,OBC,"GE, WE",Vertical
1100941,71,BC,OBC,True,POST-2,UR,GE,UR
1100243,72,"GE,ME,NG,RG","GE,ME,NG,RG",True,POST-2,UR,GE,UR
1105047,73,BC,OBC,True,POST-2,OBC,GE,Vertical
1100866,74,GE,GE,True,POST-3,UR,GE,UR
1115631,75,GE,GE,True,POST-3,UR,GE,UR
1100267,76,"GE,WE","GE,WE",True,POST-2,UR,"GE, WE",UR
1100189,77,BC,OBC,True,POST-2,OBC,GE,Vertical
1100547,78,EWS,EWS,True,POST-1,EWS,GE,Vertical
1103677,79,"EWS,RG","EWS,RG",True,POST-2,EWS,GE,Vertical
1101406,80,BC,OBC,True,POST-2,OBC,GE,Vertical
1103070,81,GE,GE,True,POST-3,UR,GE,UR
1105679,82,"ST,WE","ST,WE",True,POST-1,ST,GE,Vertical
1102512,83,"BC,WE","OBC,WE",True,POST-1,OBC,"GE, WE",Vertical
1101826,84,BC,OBC,True,POST-2,OBC,GE,Vertical
1112340,85,BC,OBC,True,POST-2,OBC,GE,Vertical
1104625,86,GE,GE,True,POST-3,UR,GE,UR
1102112,87,GE,GE,True,POST-3,UR,GE,UR
1113450,88,"GE,WE,DV","GE,WE,DV",True,POST-2,UR,"GE, WE",UR
1100051,89,"BC,WE,DV","OBC,WE,DV",True,POST-2,UR,"GE, WE",UR
1112267,90,GE,GE,True,POST-3,UR,GE,UR
1107802,91,"BC,RG","OBC,RG",True,POST-2,OBC,GE,Vertical
1102087,92,BC,OBC,True,POST-2,OBC,GE,Vertical
1106409,93,BC,OBC,True,POST-3,UR,GE,UR
1113852,94,BC,OBC,True,POST-3,UR,GE,UR
1100293,95,BC,OBC,True,POST-3,UR,GE,UR
1104109,96,"GE,WE","GE,WE",True,POST-2,UR,"GE, WE",UR
